dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds,num_pipes
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,3,1,8,1.346759083,8,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,3500077,3500077,0,996021912,996021912,0,142856,17856,125000,111143,499901,58799736,22228600,229752832,229785600,0.049221291,1.253297125,0.000088917,1.302607333,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,3,2,0,2.653639875,0,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,35000000,35000000,0,8960000000,8960000000,0,142856,17856,125000,0,0,36571136,0,258342912,258375680,0.049388208,2.550435708,0.001118500,2.600942416,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,3,3,4,1.559740458,4,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,6649328,6649328,0,1801017984,1801017984,0,142856,17856,125000,100080,250480,46979456,10408320,219054080,219086848,0.049212708,1.467687125,0.000159833,1.517059666,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,3,4,2,1.971474958,2,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,11375014,11375014,0,3003003696,3003003696,0,142856,17856,125000,83301,124994,41235992,4664856,220332032,220364800,0.049290333,1.876702125,0.000245708,1.926238166,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,3,1,0,0.202129625,0,1,1,1000000,1000000,900129,0,99871,0,1177948008371655749,699069,699069,0,178961664,178961664,0,142856,17856,125000,0,0,36571136,0,100139008,100171776,0.049331708,0.136423375,0.000001458,0.185756541,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,3,2,2,0.196523458,2,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,36302,36302,0,9583728,9583728,0,142856,17856,125000,65806,84313,40256272,3685136,103170048,103202816,0.049344500,0.130416375,0.000000208,0.179761083,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,3,3,8,0.217654792,8,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113131520,113164288,0.049065458,0.150924083,0.000000250,0.199989791,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,3,4,4,0.193931709,4,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,588,588,0,159264,159264,0,142856,17856,125000,70259,99451,43878072,7306936,105398272,105431040,0.049129625,0.128313209,0.000000083,0.177442917,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,3,1,8,0.665171667,8,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,383772320,18058400,657833984,657833984,0.571772000,0.048037625,0.000000041,0.619809666,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,3,2,0,0.724743833,0,1,1,10000000,100000,0,0,100000,0,6238072747940578789,800000,800000,0,204800000,204800000,0,1428570,178570,1250000,0,0,365713920,0,704774144,704774144,0.575064916,0.077978667,0.002447166,0.655490749,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,3,3,4,0.657577042,4,1,1,10000000,100000,0,0,100000,0,6238072747940578789,0,0,0,0,0,0,1428570,178570,1250000,90292,100000,375104288,9390368,654753792,654753792,0.573732625,0.039493291,0.000000084,0.613226000,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_1pct_scaled.data,3,4,2,0.665083542,2,1,1,10000000,100000,0,0,100000,0,6238072747940578789,784,784,0,206192,206192,0,1428570,178570,1250000,90195,99706,370764840,5050920,650706944,650706944,0.577203750,0.041982000,0.000033416,0.619219166,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,3,1,0,0.604408167,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,205437,18818,186619,0,0,52591872,0,176439296,176439296,0.049241125,0.518883541,0.000577084,0.568701750,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,3,2,2,0.424484625,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1980496,1980496,0,522850944,522850944,0,189779,18084,171695,103647,151216,54387656,5804232,136019968,136019968,0.049786375,0.348393667,0.000254416,0.398434458,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,3,3,8,0.279949666,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,326865,326865,0,93016440,93016440,0,189602,17907,171695,134476,579745,75433312,26895200,147177472,147177472,0.049002208,0.205581208,0.000087500,0.254670916,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,3,4,4,0.335971292,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1018290,1018290,0,275811120,275811120,0,177742,17887,159855,115352,272650,57498560,11996608,131153920,131153920,0.049406916,0.263199875,0.000153042,0.312759833,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,4,1,8,0.216030625,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,548450,548450,0,156073200,156073200,0,142856,17856,125000,96517,294850,55874536,19303400,128647168,128647168,0.048964333,0.147435958,0.000048417,0.196448708,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,4,2,0,0.517645750,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,162512896,162545664,0.048848916,0.434121042,0.000622000,0.483591958,3
