run,version,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,worker_fat,worker_appends,worker_materializations,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,before,100000,300000,4,0,True,1,113030,1,173539,126461,2,1,4,hot,0,0.265358,35454976,4748856,1091896,200271728,200271728,758766,0,173539,126461,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2257,1,244042,55958,2,1,4,uniform,0,0.195099,35897344,4692488,1035528,91724528,91724528,335748,0,244042,55958,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,2282,1,244032,55968,2,1,4,uniform,0,0.2001,35930112,4691968,1035008,91739368,91739368,335808,0,244032,55968,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,163262,0,0,0,2,2,4,hot,0,0.209451,35569664,4739080,1082120,266664304,266664304,1024092,0,129318,170682,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,160536,0,0,0,2,2,4,hot,0,0.21468,35618816,4739496,1082536,262951768,262951768,1009206,0,131799,168201,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4387,0,0,0,4,1,2,uniform,0,0.165108,35405824,4118848,461888,154933704,154933704,584238,0,202627,97373,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4486,0,0,0,4,1,2,uniform,0,0.198775,35454976,4118232,461272,155024240,155024240,584598,0,202567,97433,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,2,2,0,uniform,0,0.205145,51658752,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,2,2,0,uniform,0,0.208675,36519936,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,1289,0,0,0,4,1,8,uniform,0,0.166221,37421056,5870360,2213400,49329016,49329016,170586,0,271569,28431,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,1357,0,0,0,4,1,8,uniform,0,0.146848,37421056,5875760,2218800,49370952,49370952,170742,0,271543,28457,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,238592,0,0,0,4,1,2,hot,0,0.280748,35258368,4117952,460992,381618528,381618528,1485030,0,52495,247505,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,245055,0,0,0,4,1,2,hot,0,0.280994,35225600,4117504,460544,390257656,390257656,1519626,0,46729,253271,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,2,1,0,hot,0,0.309457,35143680,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,2,1,0,hot,0,0.296138,35422208,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,4409,0,0,0,4,2,2,uniform,0,0.225942,35487744,4119352,462392,154915832,154915832,584166,0,202639,97361,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,4321,0,0,0,4,2,2,uniform,0,0.225148,35667968,4121536,464576,154861840,154861840,583968,0,202672,97328,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,2571,0,0,0,4,2,4,uniform,0,0.213895,36143104,4688432,1031472,91935704,91935704,336540,0,243910,56090,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2508,0,0,0,4,2,4,uniform,0,0.19502,36339712,4697792,1040832,91856048,91856048,336252,0,243958,56042,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,0,0,0,0,4,2,0,hot,0,0.292689,35127296,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,0,0,0,0,4,2,0,hot,0,0.283042,34799616,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,237924,0,0,0,4,2,2,hot,0,0.267846,36978688,4118624,461664,380768648,380768648,1481622,0,53063,246937,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,238776,0,0,0,4,2,2,hot,0,0.288038,38797312,4118400,461440,381955776,381955776,1486392,0,52268,247732,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,2527,0,0,0,4,1,4,uniform,0,0.162191,35897344,4691448,1034488,91924488,91924488,336510,0,243915,56085,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,2603,0,0,0,4,1,4,uniform,0,0.157924,35946496,4694672,1037712,91910432,91910432,336462,0,243923,56077,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,242220,1,49308,250692,4,1,2,hot,0,0.298478,35192832,4118120,461160,386390448,386390448,1504152,0,49308,250692,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,246220,1,45669,254331,4,1,2,hot,0,0.310537,35602432,4117448,460488,391845048,391845048,1525986,0,45669,254331,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,before,100000,300000,4,0,True,1,180744,1,101445,198555,2,2,2,hot,0,0.250969,35094528,4122824,465864,308193536,308193536,1191330,0,101445,198555,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,after,100000,300000,4,0,True,1,178702,1,103019,196981,2,2,2,hot,0,0.245979,35291136,4121536,464576,305831032,305831032,1181886,0,103019,196981,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
